ID,SUBID,ALARMLEVEL,UNITTYPE,UNITID,EQPID,DESCRIPTION,STATUS,EDITEDTIME,CLEARTIME,SETTIME
584,7296,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:53:40 PM,2024-08-19 13:53:40,2024-08-19 13:52:20
285,0,0,CRANE,C0STKA71_C01,C0STKA71,TRV#1 SERVO DRIVE ERROR,1,8/19/2024 1:53:44 PM,2024-08-19 13:53:44,2024-08-19 13:53:41
285,0,0,CRANE,C0STKA71_C01,C0STKA71,TRV#1 SERVO DRIVE ERROR,1,8/19/2024 1:53:48 PM,2024-08-19 13:53:48,2024-08-19 13:53:44
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:53:51 PM,2024-08-19 13:53:51,2024-08-19 13:53:48
285,0,0,CRANE,C0STKA71_C01,C0STKA71,TRV#1 SERVO DRIVE ERROR,1,8/19/2024 1:53:51 PM,2024-08-19 13:53:51,2024-08-19 13:53:51
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:54:07 PM,2024-08-19 13:54:07,2024-08-19 13:53:51
1242,,5,STKMAIN,C0STKA71,C0STKA71,Optical Modem Data Receive Error (RM1),1,8/19/2024 1:54:07 PM,2024-08-19 13:54:07,2024-08-19 13:53:55
218,0,0,CRANE,C0STKA71_C01,C0STKA71,SERVO DRIVE#1 POWER OFF OR DISCONNETING(HOIST),1,8/19/2024 1:54:28 PM,2024-08-19 13:54:28,2024-08-19 13:54:09
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:54:38 PM,2024-08-19 13:54:38,2024-08-19 13:54:28
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:54:55 PM,2024-08-19 13:54:55,2024-08-19 13:54:53
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:57:18 PM,2024-08-19 13:57:18,2024-08-19 13:54:58
1064,,5,STKMAIN,C0STKA71,C0STKA71,1 Safety Relay Reset,1,8/19/2024 1:57:02 PM,2024-08-19 13:57:02,2024-08-19 13:56:52
2109,,5,PORT,C0STKA71_M01,C0STKA71,DIVERTERINITIAL STOP SENABNORMAL,1,8/20/2024 5:32:11 PM,2024-08-20 17:32:11,2024-08-20 17:32:04
352,0,0,CRANE,C0STKA71_C02,C0STKA71,AT PICKKING UP LOAD IN A SHELF LOAD POSITION ERROR(3)(0101602),1,8/21/2024 1:42:03 AM,2024-08-21 01:42:03,2024-08-21 01:40:04
496,0,0,CRANE,C0STKA71_C02,C0STKA71,EXISTENCE OF LOAD AT ACTIVE SET BIT ON(C0STKA71_M01),1,8/21/2024 1:43:18 AM,2024-08-21 01:43:18,2024-08-21 01:42:04
496,0,0,CRANE,C0STKA71_C02,C0STKA71,EXISTENCE OF LOAD AT ACTIVE SET BIT ON(C0STKA71_M01),1,8/21/2024 1:44:07 AM,2024-08-21 01:44:07,2024-08-21 01:43:19
666,0,0,CRANE,C0STKA71_C01,C0STKA71,Light Curtain,1,8/21/2024 1:44:13 AM,2024-08-21 01:44:13,2024-08-21 01:43:49
2047,,5,PORT,C0STKA71_P13,C0STKA71,LIGHT CURTAIN DETECT,1,8/21/2024 1:45:08 AM,2024-08-21 01:45:08,2024-08-21 01:43:50
2047,,5,PORT,C0STKA71_P12,C0STKA71,LIGHT CURTAIN DETECT,1,8/21/2024 1:45:08 AM,2024-08-21 01:45:08,2024-08-21 01:43:50
496,0,0,CRANE,C0STKA71_C02,C0STKA71,EXISTENCE OF LOAD AT ACTIVE SET BIT ON(C0STKA71_M01),1,8/21/2024 1:44:17 AM,2024-08-21 01:44:17,2024-08-21 01:44:08
496,0,0,CRANE,C0STKA71_C02,C0STKA71,EXISTENCE OF LOAD AT ACTIVE SET BIT ON(C0STKA71_M01),1,8/21/2024 1:47:49 AM,2024-08-21 01:47:48,2024-08-21 01:44:18
