EQP_ID,UNIT_ID,ERR_CD,ERR_MSG,BARCODE_ID,ERR_START_DTTM,ERR_END_DTTM
E0STKA52,E0STKA52_M10,1012,"There is sensor detection, and there is no Data",,2024-08-21 14:18:02,2024-08-21 14:18:11
E0STKA52,E0STKA52_M08,1012,"There is sensor detection, and there is no Data",,2024-08-22 13:48:22,2024-08-22 13:48:29
E0STKA52,E0STKA52_M01,1012,"There is sensor detection, and there is no Data",,2024-08-22 13:53:32,2024-08-22 18:04:10
E0STKA52,E0STKA52_M02_OP,1125,Mode Key Change Error,,2024-08-22 18:04:40,2024-08-22 18:04:42
E0STKA52,E0STKA52_M05_OP,1125,Mode Key Change Error,,2024-08-22 18:04:40,2024-08-22 18:04:42
E0STKA52,E0STKA52_M06_OP,1125,Mode Key Change Error,,2024-08-22 18:04:40,2024-08-22 18:04:42
E0STKA52,E0STKA52_M04_OP,1125,Mode Key Change Error,,2024-08-22 18:04:40,2024-08-22 18:04:42
E0STKA52,E0STKA52_M03_OP,1125,Mode Key Change Error,,2024-08-22 18:04:40,2024-08-22 18:04:42
E0STKA52,E0STKA52_M01,1125,Mode Key Change Error,,2024-08-22 18:04:40,2024-08-22 18:04:42
E0STKA52,E0STKA52_M03,1125,Mode Key Change Error,,2024-08-22 18:04:40,2024-08-22 18:04:42
E0STKA52,E0STKA52_M04,1125,Mode Key Change Error,,2024-08-22 18:04:40,2024-08-22 18:04:42
E0STKA52,E0STKA52_M01_OP,1125,Mode Key Change Error,,2024-08-22 18:04:40,2024-08-22 18:04:42
E0STKA52,E0STKA52_M06,1125,Mode Key Change Error,,2024-08-22 18:04:40,2024-08-22 18:04:42
E0STKA52,E0STKA52_M02,1125,Mode Key Change Error,,2024-08-22 18:04:40,2024-08-22 18:04:42
E0STKA52,E0STKA52_M05,1125,Mode Key Change Error,,2024-08-22 18:04:40,2024-08-22 18:04:42
E0STKA52,E0STKA52_M05_OP,1125,Mode Key Change Error,,2024-08-22 18:12:58,2024-08-22 18:12:59
E0STKA52,E0STKA52_M06_OP,1125,Mode Key Change Error,,2024-08-22 18:12:58,2024-08-22 18:12:59
